,0.008726535364985466,0.026176949962973595,0.04361938685178757,0.061048541218042374,0.07845909893512726,0.09584575146436691,0.11320321261882782,0.13052619993686676,0.14780940115451813,0.16504760086536407,0.18223552405834198,0.1993679255247116,0.2164396196603775,0.23344536125659943,0.2503800094127655,0.2672383785247803,0.28401535749435425,0.30070579051971436,0.3173046410083771,0.3338068723678589,0.3502073884010315,0.36650121212005615,0.3826834559440613,0.39874908328056335,0.4146932363510132,0.43051108717918396,0.4461978077888489,0.4617486000061035,0.4771587550640106,0.49242356419563293,0.507538378238678,0.5224985480308533,0.537299633026123,0.5519369840621948,0.56640625,0.5807029604911804,0.5948227643966675,0.6087614297866821,0.6225146651268005,0.6360781788825989,0.649448037147522,0.6626200675964355,0.6755901575088501,0.6883545517921448,0.7009092569351196,0.713250458240509,0.7253743410110474,0.7372773289680481,0.7489557266235352,0.760405957698822,0.7716245651245117,0.782608151435852,0.7933533191680908,0.8038569092750549,0.8141155242919922,0.8241261839866638,0.8338858485221863,0.843391478061676,0.8526401519775391,0.8616291284561157,0.8703556656837463,0.878817081451416,0.8870108127593994,0.894934356212616,0.9025852680206299,0.9099612236022949,0.9170600771903992,0.9238795042037964,0.9304175972938538,0.9366722106933594,0.9426414370536804,0.948323667049408,0.9537169337272644,0.9588197469711304,0.9636304378509521,0.9681476354598999,0.972369909286499,0.9762960076332092,0.9799246788024902,0.9832549095153809,0.9862856268882751,0.9890158772468567,0.9914448261260986,0.9935718774795532,0.9953961968421936,0.9969173073768616,0.9981347918510437,0.9990482330322266,0.9996573328971863,0.9999619126319885
1963,26.445322386423747,26.552464861339992,26.639459212621052,26.725443850623236,26.701959806018404,26.711062502861022,26.752460461192662,26.780503431955974,26.82325472301907,26.819449822107952,26.87222417725457,26.89664993815952,26.855851862165665,26.756944529215495,26.56711113188002,26.475407928890654,26.325524441401164,26.12738627857632,25.940785291459825,25.606726622581483,25.381435357199774,25.101965146594576,24.704918336868285,24.24039078818427,23.86389093399048,23.442357762654623,22.971348741319446,22.15226065185335,20.980849063065317,20.089421239966114,19.192278114768367,18.515392060143252,17.73026835135081,16.769815660185284,15.941264927718375,15.124107611070697,14.918203393038777,14.462429151104557,13.802748881616733,13.220172293153073,12.572061908462395,11.627854627039698,10.695804114888112,9.940628064837721,9.18226904835966,8.290469888307982,7.290542597282264,6.3342813525141946,5.539571127626631,4.8182623097724795,4.206733533926308,3.694365360960364,3.2714582584798335,2.9241799835943514,2.5217265359436474,2.077585015940066,1.556934228905205,1.085255837872521,0.6552397961624794,-0.18081861459132698,-1.4583261894131143,-2.708128090435639,-3.724544855767292,-4.687302618660032,-5.699959187913272,-6.449816284248502,-7.2638774574191,-8.260036891310786,-8.988511283173123,-9.61702633154475,-9.818056274598671,-10.400038074784808,-11.230926436175489,-11.946029862513145,-12.729403587078883,-13.806980622228648,-14.656112310290336,-15.510148325376212,-16.476644810040792,-17.115630604161158,-17.741760680410597,-18.040696997112697,-18.41823889679379,-18.84738688468933,-19.608698187934028,-20.38885654343499,-20.984020694096884,-21.323382070329455,-21.529170497258505,-21.63855126698812
1964,26.015432249175177,26.146110026041665,26.26012610859341,26.37109548780653,26.372962745030723,26.410443374845716,26.476564780871072,26.524822873539396,26.58247355884976,26.585089768303764,26.6409324698978,26.660274765226575,26.619269964430067,26.52423144976298,26.346456903881496,26.26549857457479,26.121872356202868,25.93734202384949,25.7638209078047,25.436974374453225,25.216568353441026,24.930647325515746,24.531898805830213,24.067984718746608,23.694357930289375,23.262366808785334,22.781253589524162,21.95892553859287,20.79381803489394,19.9269028045651,19.055557344357172,18.401233712726064,17.62742572331594,16.665330948928993,15.82043867972162,14.972834339406756,14.728292049881485,14.228987408801913,13.526121879865725,12.8820435948256,12.16706895397769,11.167010483176758,10.172764212410483,9.370830489032798,8.604417029105955,7.726814677255849,6.717578689477199,5.754784928172982,4.955384721296529,4.235913128198849,3.6373248791736033,3.140171934064064,2.750844481230403,2.431318572981076,2.0352517370548515,1.5827437821154793,1.0423173681865188,0.5555279049618144,0.08148838505148888,-0.8139093309382184,-2.183826284790929,-3.5120607234369445,-4.59079104556909,-5.59469931759975,-6.597698970180419,-7.321337040644398,-8.178201532791395,-9.165604092139336,-9.851225053663883,-10.386526630032394,-10.585302082050799,-11.13638165284776,-11.889384827493794,-12.503631710737116,-13.135850103861756,-14.073413884153382,-14.814504283045729,-15.589074435457587,-16.466538246472677,-17.037139847543504,-17.561378202173444,-17.733233777681985,-17.97880433930291,-18.297549472914802,-18.93331102795071,-19.617259226904974,-20.126222970750597,-20.39412243631151,-20.566878663169014,-20.653990846210057
1965,26.32377447022332,26.43644382158915,26.525429224967958,26.606767876942953,26.573282617992824,26.57101987997691,26.601866337988113,26.618048940764535,26.64841030438741,26.624050373501248,26.65107774734497,26.646467420789932,26.588895644081962,26.48173549440172,26.292290846506756,26.202352582083808,26.054770999484592,25.862742535273235,25.684508286582098,25.350963139533995,25.12909656100803,24.849125583966572,24.452646464771696,23.9905756632487,23.62192673418257,23.203961979018317,22.72990853521559,21.9084811952379,20.742054350177447,19.872054028842186,19.00619842130691,18.346336477327473,17.574666708831987,16.618309625652103,15.783796488990387,14.950629639004667,14.728708939916558,14.248389030268623,13.567931915923126,12.960331362237532,12.27740038856864,11.290802640881804,10.315610138823589,9.534308361924356,8.764115709770056,7.8589249159726835,6.82604629514325,5.850188134196732,5.029535829288782,4.2829096926169266,3.645561726846629,3.1110424504460146,2.6844791765997393,2.342268029621078,1.9370843233023254,1.4779174712383085,0.92729208515957,0.4186933501339,-0.04628684686289893,-0.901839355402626,-2.2041199759298857,-3.5073840278821686,-4.546829130252203,-5.524403356853872,-6.535935633294543,-7.262641084522733,-8.081989031595489,-9.04648091317051,-9.713933796394203,-10.18752558901906,-10.303684762203032,-10.756078914863368,-11.384619458226695,-11.931994101115398,-12.530111873977715,-13.399478914940524,-14.088598207674092,-14.752711009648111,-15.449951158629524,-15.932040674156612,-16.40744316180547,-16.54593917793698,-16.76316955884298,-17.029760972658792,-17.624488472938538,-18.280558983484905,-18.763377544615004,-19.006538089116415,-19.16863955921597,-19.253832483291625
1966,26.354793175061545,26.478998597462972,26.585450265142654,26.695277155770196,26.69525850084093,26.73428201145596,26.805011320114136,26.854023506906298,26.910100332895915,26.913601933585273,26.967854658762615,26.985069629881117,26.946576584710016,26.857939524120756,26.681468375523885,26.602124982410007,26.45626186794705,26.25867221620348,26.06948011716207,25.721989851527745,25.479503385225932,25.17637898657057,24.753823150528802,24.270096368259853,23.875658464431762,23.434939826859367,22.943452575471667,22.106170437071057,20.92331613285674,20.032536541471362,19.14657856143183,18.47760094260383,17.70863758979572,16.754646791021027,15.926071856170893,15.093087695924462,14.86972755557961,14.3889757550425,13.714986479779084,13.110738789786895,12.426640189356274,11.447867375012073,10.48937151560353,9.73245214621226,8.991639874047703,8.122536964569655,7.110723961103294,6.1420923001650305,5.315897021225343,4.561806744268527,3.9286909037010953,3.381970371916476,2.93277047586291,2.5311273640020873,2.0313461807000244,1.4963976775658214,0.8778278489855842,0.31596370151059494,-0.20347059896189926,-1.0933149273468492,-2.438678615167737,-3.7393502716182008,-4.800877289474011,-5.819576198804295,-6.861690135183097,-7.574550205709723,-8.360833713536461,-9.350625245935387,-10.078138688682682,-10.588606223107005,-10.750183903425931,-11.207241349977751,-11.879769773284595,-12.456909933210246,-13.195471175935948,-14.16594632978514,-14.833938797935843,-15.479999489254421,-16.19802311989996,-16.67675221628613,-17.14631538126204,-17.27633879714542,-17.48535905679067,-17.72270959748162,-18.27891189787123,-18.85955736372206,-19.282711633046468,-19.488952991697523,-19.616737143198648,-19.673075283898246
1967,26.02707123491499,26.15614914364285,26.267803064982097,26.378406757778592,26.38173007435269,26.421353443463644,26.492884929974874,26.54968831009335,26.61666072739495,26.631707207361856,26.6986340575748,26.722178406185574,26.683384391996597,26.58739949332343,26.404046879874336,26.317941347757976,26.168105792999267,25.97174548572964,25.78265890015496,25.43309444586436,25.1958382235633,24.89215507507324,24.47777197096083,24.002215361595155,23.61889413992564,23.19662589761946,22.726380769411723,21.907853868272568,20.73676101002428,19.860296254977584,18.985543274739758,18.34025856351687,17.58298829856018,16.644907923208343,15.828491902434164,15.001821540958352,14.777539709334572,14.282878346906768,13.598827458504173,12.984019346814602,12.325856454835998,11.397057428997424,10.474344197991822,9.708925467067294,8.957936891085572,8.073961661021329,7.070862042552067,6.115786443143669,5.327449485990736,4.624076877269221,4.037577838644049,3.5452524645771417,3.1510270905680953,2.8199046607284495,2.4164276270816725,1.9879379799175594,1.4893956074698105,1.04637626212239,0.6481861455779937,-0.14367249434192975,-1.399159124183158,-2.625646447606333,-3.5752734038978815,-4.483104721167021,-5.485669668510349,-6.217086238502008,-7.024696844143586,-8.022247982876271,-8.765870399620487,-9.351791039771504,-9.597325520517511,-10.141919832883609,-10.860785657043259,-11.475155945349899,-12.19790965996993,-13.192804329656065,-13.89501854027104,-14.616249036292235,-15.426450418763691,-15.928895829783546,-16.412847259309558,-16.567438679271273,-16.789069996939766,-17.094456362724305,-17.74667837354872,-18.456851938035754,-19.016250811682806,-19.365053372912936,-19.57288852267795,-19.679156181547377
1968,26.211801097128127,26.32572471300761,26.421242676840887,26.51691484451294,26.506332376268176,26.52834484577179,26.58796169228024,26.630165123939513,26.680357456207275,26.678507293595207,26.73366847038269,26.75689778327942,26.714965963363646,26.61630540953742,26.42727797296312,26.33489809566074,26.17884497642517,25.978210920757718,25.793179676267837,25.456405952241685,25.228311268488564,24.945369611846075,24.543167315589056,24.081072192721898,23.70638254218631,23.279954515563116,22.799060289065043,21.965157622761197,20.779930392569966,19.878060972731973,18.972400410166383,18.29161500343018,17.50559555225902,16.538142770197656,15.702645207775964,14.875636627990753,14.655482743432124,14.179486041319453,13.507632844398419,12.911290736553363,12.261177146269215,11.319755755530464,10.376863382094436,9.608711533631302,8.850087410625484,7.967518603004929,6.964213167678099,5.987550329706735,5.199677074799547,4.503251134353276,3.916493367137284,3.418733248088716,3.017917851689789,2.6852118123840127,2.2810859909151784,1.8243994693038985,1.2757662268407228,0.776178309867262,0.29228735568208825,-0.5820807830947968,-1.8999417199942399,-3.1594196445515585,-4.221139953388936,-5.203744066889501,-6.230951791877548,-6.965344422108804,-7.776072523163425,-8.75505040775881,-9.424216112318552,-9.90609374365045,-10.07761461896201,-10.595353360060189,-11.320292262422543,-11.948505734429798,-12.855842349829619,-13.891748381695814,-14.563762985169888,-15.290198538038466,-16.154309300581613,-16.695202310880024,-17.244727635383605,-17.46446102725135,-17.761497661802505,-18.098869636323716,-18.756797239515517,-19.40574984550476,-19.866921371883816,-20.06789010365804,-20.18781436814202,-20.23170092370775
1969,26.617782587475247,26.739017311731974,26.839350785149467,26.932806285222373,26.91565318637424,26.937158852153352,26.98904913796319,27.020727483431497,27.060793945524427,27.057375282711455,27.10816847483317,27.130448410246107,27.084737698237102,26.981291347079807,26.79343360794915,26.702890814675225,26.545860873328316,26.337676249610052,26.136721414989896,25.78056563536326,25.53318060768975,25.22286967171563,24.792253435982598,24.308303083313834,23.91428722275628,23.473516183429293,22.980791393915812,22.130417948298984,20.929071925083797,20.013288780001716,19.08796689502067,18.372798314576762,17.55431272751755,16.550662365555763,15.672677805523078,14.789651417897808,14.517099843836492,14.000732707356413,13.292355944154163,12.656538155923288,11.962502786186006,10.9771434996691,9.994892820881473,9.184048868715763,8.400410708992826,7.4937040213288535,6.455602654111054,5.466132239914603,4.646072838641703,3.897157283830974,3.2627410450976133,2.7229027250988618,2.2869851123696816,1.9450492903625773,1.5447190999202172,1.1147360536890725,0.5956402270537283,0.14393985812914453,-0.27787792093327474,-1.109941882857432,-2.3721365911058254,-3.60792710251149,-4.5658152290102505,-5.478656397304601,-6.451449271291494,-7.134896987862885,-7.903701727588971,-8.819355176596178,-9.416314009245898,-9.922272356195997,-10.069968104393531,-10.485761869202058,-11.174428146808511,-11.775530341515939,-12.481971245797144,-13.37568983290241,-13.984885846333215,-14.70949644645055,-15.520737908946144,-16.054878968662685,-16.562671218978036,-16.762936345736186,-17.063025138113233,-17.414393991894194,-18.092347685496012,-18.778736050923666,-19.256924470265705,-19.450938675138687,-19.5330998049842,-19.543961016337075
1970,26.203083644972907,26.330279228422377,26.441212630271913,26.549376678466796,26.549250962999132,26.587789983219572,26.65783695379893,26.70538391802046,26.761884938346014,26.76934789551629,26.828749699062772,26.856244558758206,26.818261665768095,26.724583027097914,26.54148742887709,26.4525902695126,26.2936853673723,26.09183315171136,25.899876605139838,25.546517186694675,25.300836112764145,24.983791049321493,24.55648253493839,24.074915403789944,23.68890245490604,23.25118948618571,22.762159011099072,21.932976126670837,20.75087965991762,19.861831991483147,18.97600578163854,18.308431528343096,17.532705981118813,16.573711284001668,15.749095849734214,14.917129719671276,14.695940939585368,14.223172754659835,13.550525271726979,12.953876776993274,12.289871405644549,11.310010624759727,10.341681717853579,9.561152459846603,8.79014181010425,7.881830867276424,6.862729320675134,5.894528431207355,5.071667942249527,4.342533919644969,3.723090992539397,3.2054607458930047,2.788533922698763,2.4387658218051205,2.013345013767442,1.5492561606535067,1.030182105815038,0.563870756353976,0.1171567782604446,-0.758774774035232,-2.079485686365256,-3.324054445356079,-4.29064211777101,-5.204609228422244,-6.197039950783882,-6.942673217008511,-7.783812360061954,-8.793953077298486,-9.528026609122753,-10.084656567788786,-10.273747785223854,-10.740711581230991,-11.389749779655702,-11.928355481713597,-12.493515282331241,-13.459825401353495,-14.173722708928917,-14.863666254654527,-15.669757815603063,-16.33992471165127,-16.975442928738065,-17.230646369192335,-17.547076031896804,-17.920315257708232,-18.628563012017143,-19.36408233112759,-19.91121729214986,-20.199795118967693,-20.38143162727356,-20.48168725967407
1971,25.861794755193923,25.97881638738844,26.077787688043383,26.17644616232978,26.166519980960423,26.191756873660616,26.248261745770773,26.287197120984395,26.342609802881878,26.35324696964688,26.41668595208062,26.439312754737006,26.402337789535522,26.31153008143107,26.136392301983303,26.056953080495198,25.907978423436482,25.719408464431762,25.534125635359022,25.18777887556288,24.95261237886217,24.65533342891269,24.259838864538406,23.811095322502982,23.462325263023377,23.07185395028856,22.627614278263515,21.832906267378064,20.686639344361094,19.829771425792327,18.96082854496522,18.302781438620553,17.52796098374658,16.57714909911156,15.75712536457512,14.936436264423861,14.71607636453377,14.233865968220764,13.55272268458373,12.94244227806727,12.272688771401429,11.2996022231049,10.343519614802467,9.583581994432542,8.826874918821785,7.950275548692379,6.956576041354694,6.0315057668421,5.242077981639239,4.536828945437446,3.951797384009438,3.457385562215414,3.0592898718598818,2.7140146812631025,2.2915920234233553,1.82665007969869,1.2750847804360093,0.7519926193040899,0.2676983181005603,-0.6162202040871813,-1.9546719981047014,-3.262208504560921,-4.311697521267666,-5.31255654288042,-6.343150267998378,-7.081334074214101,-7.90524447572728,-8.887272788708408,-9.528753549005422,-9.995251858772503,-10.135217142979512,-10.583186491516729,-11.253344092062777,-11.780191300892168,-12.391309730884515,-13.309801205495994,-13.927880327300064,-14.475809973850847,-15.208693844431805,-15.727819303671518,-16.256636542744108,-16.44901785055796,-16.710011201434664,-17.027976306279502,-17.68835031721327,-18.398485565185545,-18.93912363052368,-19.243852292166817,-19.44811594751146,-19.567479440901014
1972,26.552538696924845,26.653806744681464,26.72999790509542,26.79224265416463,26.742989211612276,26.72769877910614,26.743896537356907,26.744045326444837,26.764541567696465,26.7405189620124,26.773509375254314,26.766404766506618,26.705145496792262,26.590676461325753,26.38446585337321,26.26639584965176,26.08561177783542,25.86333039601644,25.654111740324232,25.291635878880818,25.045002370410494,24.740313879648845,24.324192561043635,23.842077724138896,23.459338887532553,23.02637125915951,22.54802856180403,21.725438271628487,20.561875383224752,19.69443840963973,18.820028417557477,18.153032516874372,17.373467412425413,16.415314913955,15.59210681029492,14.774533355349881,14.555730559532012,14.084524725046423,13.414285376667976,12.810185112886959,12.143016603589057,11.178917106240988,10.205521175596449,9.409932623845007,8.626241385440032,7.7076097439974545,6.653933932836582,5.644297254026039,4.788767197464282,4.020270323463612,3.3409796077240674,2.768635351728234,2.310769666276044,1.9316227964436015,1.506651405043279,1.0217902234755456,0.4343570730338494,-0.12264494326793485,-0.6292587390059553,-1.4874138497644,-2.7873715486532697,-4.039624847461366,-5.0341092366104325,-5.921297884453088,-6.834884653054178,-7.491656989086834,-8.287067070117013,-9.192306658729082,-9.832075400008923,-10.32271357609166,-10.442699534197649,-10.861003078381893,-11.475246104080643,-12.066310420839322,-12.645522416962518,-13.451149759648574,-13.96296627306276,-14.506458831327553,-15.192375607084896,-15.644560392366515,-16.18407045867708,-16.364641782972548,-16.579295767678154,-16.828707559903464,-17.403202533721924,-18.028134054607815,-18.494759278827242,-18.743530856238472,-18.922104030185274,-19.02256309721205
1973,26.256553437974716,26.372349484761557,26.471941955884297,26.572758118311565,26.56688044336107,26.595714206165738,26.657574359575907,26.7017425192727,26.752074819140965,26.748392979303997,26.796752961476646,26.80368374188741,26.755595684051514,26.653479666180083,26.464431058035956,26.367130692799886,26.1987411181132,25.992433468500774,25.79742104742262,25.44665431711409,25.20512137413025,24.90480021900601,24.486981140242683,24.009706812434725,23.632301749123467,23.213065030839708,22.746630035506353,21.935169310039946,20.77219260831674,19.89837638495697,19.02898902810282,18.367633817179335,17.593525668978693,16.63850635041793,15.816806732283698,14.995663637916246,14.78429101842145,14.314326957530445,13.633048198165165,13.017463310807944,12.344547974401051,11.38465829739968,10.432814182258314,9.679117630701512,8.953961181971762,8.084060001580252,7.093928009773501,6.1528878691451006,5.358739621419874,4.638881469310986,4.030564028686947,3.517882631967465,3.101875619155665,2.7736350185444785,2.415674561663117,1.9963771505764776,1.499370676982734,1.0238612966870682,0.5722273758363574,-0.2725687612653322,-1.5842658533818192,-2.8767477337736636,-3.8894062949396258,-4.8098693683536515,-5.757312404426435,-6.479144289248183,-7.3256144746982805,-8.300784854466716,-9.027217800366795,-9.533551995125082,-9.704046191316511,-10.2534246230291,-10.970884799998668,-11.62656653030879,-12.244879559427499,-13.0875142523398,-13.896617070833843,-14.679935188715657,-15.521113087733587,-16.195573583907553,-16.881410796112483,-17.127995750639172,-17.412556812498305,-17.766872726546392,-18.461574877632987,-19.199113273620604,-19.749102306365966,-20.041133456759983,-20.21867559221056,-20.309081040488348
1974,25.911552845107185,26.028111081653172,26.125806697209676,26.221182955635918,26.208324262830946,26.229977101749846,26.27988012101915,26.315642947620816,26.36975057390001,26.37839011086358,26.445031595230102,26.477603191799588,26.44296924802992,26.346729940838284,26.16343443128798,26.074603769514297,25.919142235649957,25.728415049446955,25.552074331707423,25.217461514472962,25.000167020161946,24.725332042906018,24.337223516570198,23.88348638481564,23.524585376845465,23.120533890194363,22.66017116970486,21.84490805996789,20.675701176457935,19.79849279680186,18.92047228589654,18.254299104974294,17.46885036871665,16.490105609595776,15.638076492481762,14.778670885724326,14.528900448088017,14.033275241156419,13.329041644682487,12.697650140203121,12.02564485470454,11.057010138717791,10.093489762740338,9.340552630772192,8.603322906047106,7.730154837585157,6.751155929715606,5.820720907285189,5.032542346076419,4.315423631474065,3.700796284288582,3.1954729492144702,2.7924716165082324,2.4716761327115817,2.0873027585343356,1.6479437630545968,1.109750116016302,0.607199335230204,0.13475160670414982,-0.7192073057664351,-2.0179973105453732,-3.3357078878208997,-4.388162331153742,-5.349207604769617,-6.368121530684746,-7.120482174162236,-7.979300456794186,-8.982967833295051,-9.72087701660049,-10.298039043901696,-10.476968916826364,-10.947009377166008,-11.554255104644431,-12.151912920598665,-12.680428209787028,-13.3822325640565,-13.920960294889907,-14.58521974939439,-15.342694672673113,-15.783673853509956,-16.29155205488205,-16.46175743871265,-16.71451647016737,-16.98950061003367,-17.59887853463491,-18.258035484949747,-18.744645839267307,-18.99385182062785,-19.174083757400513,-19.28100429640876
1975,25.821598850356207,25.938921138975356,26.038366548220317,26.133338589138454,26.119962199529013,26.143175676133897,26.19519358476003,26.228834658198885,26.27117765214708,26.260704538557263,26.305461094114516,26.323750087949964,26.284475347730847,26.19138853285048,26.017233233981663,25.93715804417928,25.79985015657213,25.624886989593506,25.46093723509047,25.133212383588155,24.928145043055217,24.655223327212862,24.271442302068074,23.826447375615437,23.479743313789367,23.091115363438924,22.64774100250668,21.854381685786777,20.707061329483984,19.842340155980654,18.973960274209578,18.304686813760135,17.5237132952859,16.56288903537724,15.738359520211816,14.912544640484784,14.702898778352473,14.247700484262573,13.58245321214199,12.984691968891356,12.325622477796342,11.372400611359627,10.432258560410183,9.6926779013541,8.970727060735225,8.110725663685136,7.1318870645844274,6.218787534948852,5.461689030467015,4.793629085430358,4.229662881305234,3.757806493057352,3.377474517375231,3.0482477398692733,2.6649131963650388,2.2309086750106264,1.6885877239388518,1.1721950627346005,0.6670862184630499,-0.16636550979779308,-1.4676701578311622,-2.7552866756605607,-3.7624141819671624,-4.6769934337017025,-5.653521093012144,-6.389331866573128,-7.249548602133291,-8.266831032880065,-9.022927742441082,-9.624729590055843,-9.89378417117728,-10.506777531519118,-11.23365292609152,-11.908367667140233,-12.519294028284236,-13.325140140052989,-14.113159853137201,-14.910168494271218,-15.751607887540013,-16.26919182472759,-16.93594166967604,-17.245030705134074,-17.5483894639545,-17.935311222076415,-18.66581237581041,-19.421802727381387,-19.98500476413303,-20.282596492767333,-20.467426331837974,-20.56687733332316
1976,26.127856861220465,26.23236191007826,26.31417594485813,26.385133467780218,26.349948803583782,26.35473408434126,26.391357032457986,26.41396503713396,26.454721678627863,26.445945745044284,26.4961453543769,26.514181841744318,26.477573702070448,26.385730722215442,26.206366141637165,26.116965701844958,25.963423448138766,25.767967197630142,25.587384308709037,25.247576167848376,25.021862785021465,24.733332488271927,24.329118000136482,23.8605016708374,23.488317306836446,23.06413729985555,22.587312110265096,21.76453278594547,20.597038369046317,19.718757302189868,18.837079396512774,18.165378749039437,17.38097447918521,16.41727460159196,15.57972184403075,14.73302984415657,14.493306869682339,13.999400194154845,13.299591055015723,12.661397456129391,11.956251260969374,10.961187191390328,9.96728353969132,9.171629618770547,8.398581271784174,7.508761535833279,6.495926474495273,5.535142568773073,4.7241341884196215,3.992193785048504,3.382142080587154,2.8924040334402688,2.5017623303277006,2.185470084157876,1.819875581614259,1.3979746324970619,0.8491793224536296,0.34005331156982316,-0.13835644090367066,-0.9999332024250179,-2.259210057608369,-3.5039732558290577,-4.479684540437948,-5.379640581918001,-6.323027216784734,-7.036203246889636,-7.872403157197146,-8.839485193732092,-9.54222272709012,-10.035948395418623,-10.138344993920246,-10.584337148215209,-11.205502531046255,-11.768891306387054,-12.319621237760616,-13.058763462915604,-13.682439808133577,-14.428324131419261,-15.215607036743313,-15.696091609199842,-16.242556076579625,-16.515192018614876,-16.780405137274002,-17.090647829903496,-17.729339249928792,-18.40100154876709,-18.90399454434713,-19.176276281144883,-19.362255567974515,-19.464636596043906
1977,26.369955597983466,26.476948764589096,26.564060523774888,26.645302618874442,26.62418376074897,26.6451446029875,26.688731627994112,26.714428864585027,26.746579938464695,26.718398571014404,26.746484099494086,26.73101855913798,26.671962616178725,26.56740272310045,26.38442440032959,26.296392557356093,26.150489732954238,25.96466212272644,25.792103566063776,25.469591164588927,25.255338011847602,24.987327904171416,24.594250832663644,24.13656439781189,23.765982604026796,23.354272972212897,22.888429080115426,22.07229157818688,20.903419585857126,20.023488289676607,19.14554234113958,18.468543008880484,17.67577914189961,16.696945203675163,15.858004697929655,15.019651500466797,14.790279676434066,14.290889964894289,13.588842480950472,12.993863325917886,12.33723984934687,11.365397297508187,10.373924758699205,9.58978504087362,8.841582301755746,7.96806774329808,6.993582720433673,6.0784916008356955,5.341361538768332,4.672989617955561,4.106758150970563,3.6237865229965083,3.225892412248585,2.8810276654859384,2.4674240440751114,1.9975037108485898,1.4575738857163945,0.9713883227772183,0.5167958642718279,-0.38122628691295785,-1.646444637946681,-2.8720096980674295,-3.848646772218247,-4.768873329900412,-5.751372949715652,-6.483257543902275,-7.3130388340188395,-8.290779219712649,-9.017958662648581,-9.554674489496069,-9.70368424780253,-10.16274129938748,-10.825129622593522,-11.52464116593797,-12.25223019607365,-13.195132602319225,-14.023681590830286,-14.83904002788994,-15.719450002246433,-16.2480442987548,-16.848181925879583,-17.136324379179214,-17.45388770368364,-17.80237035751343,-18.478640254338583,-19.189783244662813,-19.721740584903294,-20.00599810282389,-20.184975152545505,-20.278334358003406
1978,26.18832976023356,26.31732325553894,26.42734485467275,26.533580038282608,26.535454347398545,26.57931684917874,26.644321346282958,26.688523287243314,26.737868780559964,26.734341372383966,26.783345201280383,26.788952843348184,26.74764959017436,26.65989810625712,26.491170512305366,26.414511150783962,26.27323733435737,26.08853426509433,25.907777521345352,25.565939331054686,25.330963134765625,25.0333253648546,24.614311390452915,24.130501665009394,23.73868594699436,23.303218388557433,22.813943025800917,21.98134757147895,20.798501189218626,19.90623255509935,19.026512330466844,18.349586356307068,17.57296579041415,16.613443848821852,15.785247882207235,14.953977124765515,14.723960216064006,14.227512453248103,13.527595544223571,12.894781156132618,12.18652742041482,11.180058816406461,10.197427888297373,9.435135533101857,8.685126736429002,7.805373564828187,6.79972742765935,5.864648114082714,5.072231970660182,4.375848378955076,3.7750382407620133,3.283548794986887,2.895690802588231,2.5604612525828494,2.155080410025807,1.7192620108457048,1.212177561054058,0.768176721980045,0.3536870436535941,-0.46234368176923857,-1.717489772712967,-2.9808599821550565,-4.032642678336964,-5.004282379690105,-6.018775064560274,-6.796531324678411,-7.662367434634103,-8.672840636526235,-9.432177509491643,-10.03238974230157,-10.245637209196058,-10.810857479274272,-11.512444248795509,-12.218023553076717,-12.969239958665437,-13.815292406133894,-14.353644212873446,-14.907601683222067,-15.577999520286296,-16.013621235556073,-16.56043199433221,-16.761871271663242,-17.049453891648188,-17.394837413893807,-18.078485367033217,-18.78957429462009,-19.313487503263687,-19.580476978090076,-19.715337959925332,-19.763869984944662
1979,26.44852533870273,26.557178237703113,26.64801466729906,26.73988691965739,26.727099323272704,26.754629280832077,26.80307620101505,26.834428222974143,26.86972345246209,26.847405650880603,26.876525576909383,26.87019706832038,26.81950373649597,26.723093292448254,26.54842038154602,26.466928847630818,26.323006444507175,26.136545684602524,25.961994822820028,25.625988721847534,25.399343670739068,25.10821296903822,24.699114290873208,24.22319740454356,23.840131690767077,23.412031565772164,22.927085508240594,22.089506583743624,20.89696829136875,19.985971173271537,19.08302761225237,18.38727520066831,17.598741729115137,16.643041114343536,15.830300295352936,15.018810375034809,14.808561274492078,14.337316782855325,13.657257455856437,13.04555493477318,12.35188033426271,11.354230270783107,10.386040032116902,9.64178165031804,8.913298486007584,8.073965539410711,7.096264607674028,6.154242470529344,5.354842609311971,4.629404999946969,3.993215485888585,3.4564906818430043,3.0184072811070815,2.650614844293644,2.207569674961269,1.7365404781730225,1.1611935613780386,0.641095782102396,0.15283648383467355,-0.6965982799867763,-1.9814207821670506,-3.283541862107813,-4.3308842776136265,-5.320589020879319,-6.3691679783372415,-7.159273856516504,-8.011640291122927,-9.044312639782826,-9.80820874662863,-10.420232905085301,-10.675736979369281,-11.173121651262045,-11.839542555726236,-12.544063652989765,-13.266664190342029,-14.159902291558684,-14.808641846229632,-15.53279006600173,-16.351989566948678,-16.90674182706409,-17.404670258363087,-17.689432499143813,-18.056513227356806,-18.38531910048591,-19.037354527579414,-19.714984756045872,-20.205851115120783,-20.445312303966947,-20.597710514068602,-20.65951173570421
