,0.008726535364985466,0.026176949962973595,0.04361938685178757,0.061048541218042374,0.07845909893512726,0.09584575146436691,0.11320321261882782,0.13052619993686676,0.14780940115451813,0.16504760086536407,0.18223552405834198,0.1993679255247116,0.2164396196603775,0.23344536125659943,0.2503800094127655,0.2672383785247803,0.28401535749435425,0.30070579051971436,0.3173046410083771,0.3338068723678589,0.3502073884010315,0.36650121212005615,0.3826834559440613,0.39874908328056335,0.4146932363510132,0.43051108717918396,0.4461978077888489,0.4617486000061035,0.4771587550640106,0.49242356419563293,0.507538378238678,0.5224985480308533,0.537299633026123,0.5519369840621948,0.56640625,0.5807029604911804,0.5948227643966675,0.6087614297866821,0.6225146651268005,0.6360781788825989,0.649448037147522,0.6626200675964355,0.6755901575088501,0.6883545517921448,0.7009092569351196,0.713250458240509,0.7253743410110474,0.7372773289680481,0.7489557266235352,0.760405957698822,0.7716245651245117,0.782608151435852,0.7933533191680908,0.8038569092750549,0.8141155242919922,0.8241261839866638,0.8338858485221863,0.843391478061676,0.8526401519775391,0.8616291284561157,0.8703556656837463,0.878817081451416,0.8870108127593994,0.894934356212616,0.9025852680206299,0.9099612236022949,0.9170600771903992,0.9238795042037964,0.9304175972938538,0.9366722106933594,0.9426414370536804,0.948323667049408,0.9537169337272644,0.9588197469711304,0.9636304378509521,0.9681476354598999,0.972369909286499,0.9762960076332092,0.9799246788024902,0.9832549095153809,0.9862856268882751,0.9890158772468567,0.9914448261260986,0.9935718774795532,0.9953961968421936,0.9969173073768616,0.9981347918510437,0.9990482330322266,0.9996573328971863,0.9999619126319885
1886,25.814092230796813,25.932354656855264,26.03928365972307,26.144914399252997,26.1365255885654,26.163638779852125,26.235241617096793,26.277569074100917,26.33655425707499,26.347420326868694,26.40564268959893,26.427439000871445,26.378173112869263,26.272263378567168,26.076360495885215,25.980483526653714,25.816295655568442,25.599404303232827,25.378615125020346,25.012787996398078,24.747366219096712,24.42120372719235,23.977853483623928,23.484873411390517,23.08964241610633,22.65062780910068,22.161513015959,21.33305380344391,20.163734999630186,19.289883893976608,18.41760748045312,17.779626735037677,17.030746143807967,16.100312568744023,15.290486893181999,14.482188400212262,14.284697465888328,,,,,,,,,,,5.741593537779732,4.927557313724214,4.194079340539044,3.572522041945356,3.0382101573981344,2.59746669055894,2.23900790004991,1.818409369373694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.38786301612854,-20.4670189804501
1887,25.711228850152757,25.82419342464871,25.922943070199754,26.021532932917278,26.003417640262178,26.023445614178975,,,,,,,,,,,,,,,,,,,,,,21.51909160481559,20.351575164993605,19.478864276740286,18.607521300514538,17.96156065089421,17.20083990978698,16.256348567869928,15.434083793783147,14.607691704730193,14.381463558309608,,,,,,,,,,,5.544710704135812,4.721197415544237,4.003338709308041,3.400313298000644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.64828581545088,-17.83700409995185,-18.099902396731906,-18.41408541997274,-19.062276808420815,-19.7454666879442,-20.25510703722636,-20.525747044881186,-20.690332306755913,-20.772276480992634
1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.660567573188908,14.428318128859003,,,,,,,,,,,5.63528923173435,4.83435271236942,4.131441840281089,3.5414393504046733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.502826658884683,-19.755251275168526,-19.911604282591078,-19.989272843466864
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.017027309205798,,,,,,,-19.33995665444268,-19.622740019692316,-19.803509293662177,-19.900294701258343
1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.198326301574706,-16.718725917074416,-16.901712123552958,-17.165576243400572,-17.48121371799045,-18.130764288372465,-18.81945628060235,-19.334372138977052,-19.610321919123333,-19.78386140399509,-19.874455489052668
1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.809359407424928,-20.084962701797487,-20.260902584923638,-20.354519748687743
1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.160237447420755,-17.44857862525516,-17.78063612514072,-18.441773833168877,-19.13069019317627,-19.643107488420274,-19.912961112128365,-20.077856572469077,-20.16012276013692
1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.764832191997105,-16.99407918188307,-17.295197139845953,-17.63343391418457,-18.30073095957438,-18.99593909581502,-19.516336022482978,-19.796388975779216,-19.97536669837104,-20.06996446185642
1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.395044730769264,-16.944551142056785,-17.146095948749117,-17.428164246347215,-17.764796008004083,-18.435122124354045,-19.135743660397,-19.661130958133274,-19.945476945241293,-20.117651181750826,-20.204927073584663
1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.565000690354243,-16.7540707482232,-17.013336613443162,-17.317664413981966,-17.952224238713583,-18.61928923924764,-19.108826775021022,-19.354057041803994,-19.508454667197334,-19.584566566679214
1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.538881390624574,-17.08710376156701,-17.28935866885715,-17.57290947702196,-17.912798918618098,-18.587195428212485,-19.28867794142829,-19.810024547576905,-20.083587874306573,-20.252196746402316,-20.338788080215455
1897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.646771462758382,-16.18010022110409,-16.37084974447886,-16.644325574239094,-16.96894940800137,-17.627533457014295,-18.32347386148241,-18.844411389033,-19.124671072430083,-19.294000731574165,-19.37715367741055
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.513511293464237,-17.03643185297648,-17.206381159358553,-17.458246933089363,-17.758676113022698,-18.38816451496548,-19.045948028564453,-19.52944280306498,-19.77327259911431,-19.923650481965808,-19.99568771256341
1899,,,,,,,,,,,,,,,,26.1063909901513,25.946461963653565,25.748032532797918,25.5626387225257,25.22558594279819,24.99670701291826,24.71117027070787,24.302989427248637,23.82525926960839,23.439617533153957,23.0180433511734,22.543645699818928,21.72260590261883,20.550542470812797,19.669151032550467,18.79790057684812,18.138015777824652,17.36984543990758,16.423260698715847,15.607828187114663,14.787590550693373,14.571067516303932,,,,,,,,,,,5.920879979576502,5.1279550213263265,4.425577801062415,3.8468594171947594,3.3686535173302725,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.662970029935241,-16.20317948659261,-16.72709292040931,-16.902832251124913,-17.149509432580736,-17.442639724413553,-18.0665584564209,-18.71861064169142,-19.19677537812127,-19.43631828096178,-19.589911720487805,-19.666524129443697
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.772170725019855,18.880458842259316,18.19419208049981,17.403381597499052,16.435571686426798,15.60092158648703,14.759769891450803,14.529823316468132,,,,,,,,,,,5.819473641790036,5.0259380828576266,4.311687205752564,3.7151729308896595,3.2215209910749563,,,,,,,,,,,,,,,,-8.489271971541974,-9.168188434642635,,,,,,,,-13.89292446685334,,,-15.878274885813395,-16.412920207447478,-16.599931907653808,-16.871295110384622,-17.193354357613458,-17.846277703179254,-18.53088159561157,-19.039147276348537,-19.30434209505717,-19.456095298131306,-19.525612688064577
1901,,,,,,,,,,,,,,,,,,,,,,,,,23.60040847990248,23.167329721980625,22.68092755476634,21.84694245126512,20.666188022659885,19.76521734568394,18.865365351022533,18.179903628594346,17.395467381758824,16.434871577885417,15.603150012840826,14.77253124407596,14.553263704561525,,,,,,,,,,,5.857281649064437,5.093491871137586,4.404575607105572,3.8251724829276403,3.3391058334977264,2.948791523738247,2.6274458913895717,2.233413063698552,1.7851710372190508,,,,,,,,,,,,,,,,,,,,,,,,-16.151158593760595,-16.697592857148912,-16.907265533341302,-17.194478787316218,-17.5294440958235,-18.19411187701755,-18.888322014278835,-19.404980998569066,-19.678581110636394,-19.845070690578886,-19.928175830841063
1902,,,,,,,,,,,,,,,,,,25.86888642311096,25.68950930701362,25.35385982460446,25.13077368206448,24.852378929985893,24.451403646998934,23.977756208843655,23.587140027681986,23.160681210623846,22.673681227366128,21.831178565820057,20.635246449046665,19.719889621258094,18.80683678390665,18.096489571345348,17.27726497774323,16.28101680080096,15.412302554812696,14.54374678556083,14.274896801252746,,,,,,,,,,,5.618613697557399,4.831314226110569,4.112986674868605,3.516956933313567,3.008708687664734,2.593949356281923,2.2514304334349515,1.8332040264995562,1.3577697885584914,,,,,,,,,,,,-9.518410861078236,,,,,,,,,,,,-16.424704812632665,-16.920813536643983,-17.064028896225825,-17.28170706431071,-17.53804800775316,-18.125408347447713,-18.750351248847114,-19.204121526082357,-19.422547637091743,-19.54568830066257,-19.59682492150201
1903,,,,,,,,,,,,,,,,,,,,,,,,,,22.872591143184238,22.365609325302973,21.503108292155794,20.296012818813324,19.37262629941106,18.44856491001944,17.749294779532484,16.949086387496855,15.96766670246919,15.115159395699285,14.259091381728648,14.00786680261501,,,,,,,,,,,5.249741012975574,4.46840627188665,3.7720880277351374,3.208717167812089,2.7408543408693125,2.372826196781049,2.088095010739441,1.7332768509319674,1.342421589201937,0.8938249875170489,,,,,,,,,,,,,,,,,,,,-13.832585992995236,-14.476414024891954,-15.268474907759163,-15.83058234055837,-16.410172650549146,-16.65553592575921,-16.97384308444129,-17.338831112119887,-18.03780156771342,-18.77006747987535,-19.317566034528944,-19.61227536201477,-19.79972178671095,-19.90085793601142
